Institutionsname;Besuche_insgesamt;Besuche_insgesamt;zahlende_Besucherinnen_und _Besucher;zahlende_Besucherinnen_und _Besucher;nicht_zahlende_Besucherinnen_und_Besucher;nicht_zahlende_Besucherinnen_und_Besucher;Besucherinnen;Besucherinnen;Besucher;Besucher;Kinder_und_Jugendliche;Kinder_und_Jugendliche;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Bemerkungen_Angaben_werden_nicht_erhoben;Institutionskategorie
Bauhaus-Archiv;103,278;114,661;84,877;92,798;18,401;21,863;53,188;58,477;50,090;56,184;-;-;-;-;-;Berliner Landesmuseen
Stiftung Stadtmuseum Berlin;210,099;178,121;116,964;93,309;93,135;84,812;111,352;99,748;98,747;78,373;-;-;-;-;-;Berliner Landesmuseen
Stiftung Domaene Dahlem;82,040;79,042;17,979;18,786;64,061;60,256;49,563;1,408;32,477;918;-;-;-;-;-;Berliner Landesmuseen
Jugend im Museum e.V.;9,627;9,275;-;-;-;-;4,910;4,846;4,717;4,429;9,000;8,900;-;-;"Bei d. Besuchern handelt es sich um Teilnehmer;
Keine Angaben zu Kursgebuehren";Berliner Landesmuseen
Schwules Museum;17,084;17,426;12,600;12,400;4,484;5,026;6,800;7,200;10,284;10,300;-;-;-;-;-;Berliner Landesmuseen
Werkbundarchiv - Museum der Dinge;9,800;10,057;7,548;8,341;2,252;1,716;5,485;6,030;4,315;4,027;-;-;-;-;-;Berliner Landesmuseen
Stiftung Georg-Kolbe-Museum;16,046;17,422;10,420;11,568;5,626;5,845;9,858;10,911;6,188;6,511;1,065;1,318;-;-;-;Berliner Landesmuseen
Altes Museum mit Antikensammlung - Museumsinsel;330,000;162,000;122,400;113,200;207,600;48,800;202,633;-;127,367;-;13,500;13,500;-;555,000;"2011: 160.000 nur Besucher der ""Rotunde""";Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Alte Nationalgalerie -Museumsinsel;305,000;312,000;192,200;246,300;112,800;65,700;-;-;-;-;9,737;10,100;-;205,000;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Bodemuseum mit Skulpturensammlung,Museum fuer Byzantinische Kunst und Muenzkabinett - Museumsinsel;390,000;165,000;357,100;123,300;32,900;41,700;-;-;-;-;6,554;6,400;-;405,000;"2011: Sonderausstellung ""Gesichter der Renaissance""";Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Neues Museum mit aegyptisches Museum, Museum fuer Vor- und Fruehgeschichte - Musuemsinsel ;903,000;701,000;672,300;511,400;230,700;189,600;504,777;364,520;398,223;336,480;58,575;51,400;-;223,000;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Pergamonmuseum mit Antikensammlung, Museum fuer Islamische Kunst, Vorderasiatischem Museum, Muenzkabinett - Musuemsinsel;1,305,000;1,410,000;903,000;1,153,400;402,000;256,600;704,700;768,450;600,300;648,600;64,389;87,500;-;-;"2011: Sonderausstellung ""Pergamon, Panorama der Antiken Metropole""";Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Friedrichswerdersche Kirche - Museumsinsel;173,000;141,000;-;-;173,000;141,000;-;-;-;-;-;-;-;-;ab Sept. 2012 wegen Bauarbeiten geschlossen;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Hamburger Bahnhof - Tiergarten;280,000;280,000;211,000;214,900;69,000;65,100;-;-;-;-;11,750;14,400;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Neue Nationalgalerie - Kulturforum;220,000;416,000;160,200;340,700;59,800;75,300;-;-;-;-;8,019;17,300;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
